Dataset,Model,Accuracy,Precision,Recall,F1-score,AUC
Custom Dataset,Logistic Regression,0.7368,0.7762,0.7137,0.7289,0.8444
Custom Dataset,Naive Bayes,0.4737,0.5552,0.5012,0.4776,0.804
Custom Dataset,SVM,0.7105,0.7452,0.6844,0.6944,0.8352
Custom Dataset,Decision Tree,0.6974,0.7285,0.6677,0.6775,0.787
Custom Dataset,KNN,0.6579,0.7139,0.627,0.6402,0.811
Custom Dataset,CNN,0.6053,0.6795,0.6494,0.5857,0.8831
Custom Dataset,LSTM,0.6184,0.8027,0.6624,0.6293,0.8929
Jigsaw Dataset,Logistic Regression,0.8802,0.6118,0.7034,0.6309,0.9235
Jigsaw Dataset,Naive Bayes,0.7863,0.5411,0.6898,0.5552,0.9049
Jigsaw Dataset,SVM,0.9271,0.6595,0.669,0.6632,0.9229
Jigsaw Dataset,Decision Tree,0.8808,0.5516,0.6104,0.5744,0.7444
Jigsaw Dataset,KNN,0.9218,0.6079,0.5,0.5278,0.7397
Jigsaw Dataset,CNN,0.874,0.6717,0.7473,0.6572,0.9435
Jigsaw Dataset,LSTM,0.8815,0.6584,0.7418,0.66,0.94
Combined Dataset,Logistic Regression,0.8749,0.6088,0.6987,0.6267,0.9201
Combined Dataset,Naive Bayes,0.7826,0.5347,0.6894,0.5518,0.9069
Combined Dataset,SVM,0.9239,0.6495,0.6576,0.6526,0.9214
Combined Dataset,Decision Tree,0.8807,0.5808,0.6237,0.5938,0.7537
Combined Dataset,KNN,0.9216,0.6371,0.5052,0.5351,0.7441
Combined Dataset,CNN,0.8894,0.6468,0.7332,0.6602,0.9438
Combined Dataset,LSTM,0.887,0.6636,0.7347,0.6624,0.9403
